activity_id,activity_name,activity_type,subject_code,subject_name,scheme,department,duration_minutes,frequency_per_week,room_type_required,equipment_required,max_participants,min_participants,preparation_time,cleanup_time,special_requirements,preferred_time_slots,instructor_requirements,assessment_component,attendance_mandatory,recording_allowed,status,semester,priority,notes
ACT4001,Transform and Numerical Methods Lecture,Lecture,T&NM_A,Transform and Numerical Methods,A,Civil Engineering,60,4,Theory,"Projector, Whiteboard, Audio System",100,80,10,5,Mathematical software access,"08:00-11:00, 10:00-13:00, 11:20-14:20",M.Tech/Ph.D in Mathematics,True,True,True,Active,2,High,Regular lecture sessions for Transform and Numerical Methods
ACT4002,Transform and Numerical Methods Lecture,Lecture,T&NM_A,Transform and Numerical Methods,A,Electrical Engineering,60,4,Theory,"Projector, Whiteboard, Audio System",100,80,10,5,Mathematical software access,"08:00-11:00, 10:00-13:00, 11:20-14:20",M.Tech/Ph.D in Mathematics,True,True,True,Active,2,High,Regular lecture sessions for Transform and Numerical Methods
ACT4003,Transform and Numerical Methods Lecture,Lecture,T&NM_A,Transform and Numerical Methods,A,Mechanical Engineering,60,4,Theory,"Projector, Whiteboard, Audio System",100,80,10,5,Mathematical software access,"08:00-11:00, 10:00-13:00, 11:20-14:20",M.Tech/Ph.D in Mathematics,True,True,True,Active,2,High,Regular lecture sessions for Transform and Numerical Methods
ACT4004,Transform and Numerical Methods Lecture,Lecture,T&NM_A,Transform and Numerical Methods,A,Electronics Engineering,60,4,Theory,"Projector, Whiteboard, Audio System",100,80,10,5,Mathematical software access,"08:00-11:00, 10:00-13:00, 11:20-14:20",M.Tech/Ph.D in Mathematics,True,True,True,Active,2,High,Regular lecture sessions for Transform and Numerical Methods
ACT4005,Transform and Numerical Methods Lecture,Lecture,T&NM_A,Transform and Numerical Methods,A,Information Technology,60,4,Theory,"Projector, Whiteboard, Audio System",100,80,10,5,Mathematical software access,"08:00-11:00, 10:00-13:00, 11:20-14:20",M.Tech/Ph.D in Mathematics,True,True,True,Active,2,High,Regular lecture sessions for Transform and Numerical Methods
ACT4006,Transform and Numerical Methods Lecture,Lecture,T&NM_A,Transform and Numerical Methods,A,Computer Science Engineering,60,4,Theory,"Projector, Whiteboard, Audio System",100,80,10,5,Mathematical software access,"08:00-11:00, 10:00-13:00, 11:20-14:20",M.Tech/Ph.D in Mathematics,True,True,True,Active,2,High,Regular lecture sessions for Transform and Numerical Methods
ACT4007,Chemistry Lecture,Lecture,CHEM_A,Chemistry,A,Civil Engineering,60,3,Theory,"Projector, Whiteboard, Audio System",100,80,10,5,Chemical safety protocols,"08:00-11:00, 10:00-13:00, 11:20-14:20",M.Sc/Ph.D in Chemistry,True,True,True,Active,1,High,Regular lecture sessions for Chemistry
ACT4008,Chemistry Lecture,Lecture,CHEM_A,Chemistry,A,Electrical Engineering,60,3,Theory,"Projector, Whiteboard, Audio System",100,80,10,5,Chemical safety protocols,"08:00-11:00, 10:00-13:00, 11:20-14:20",M.Sc/Ph.D in Chemistry,True,True,True,Active,1,High,Regular lecture sessions for Chemistry
ACT4009,Chemistry Lecture,Lecture,CHEM_A,Chemistry,A,Mechanical Engineering,60,3,Theory,"Projector, Whiteboard, Audio System",100,80,10,5,Chemical safety protocols,"08:00-11:00, 10:00-13:00, 11:20-14:20",M.Sc/Ph.D in Chemistry,True,True,True,Active,1,High,Regular lecture sessions for Chemistry
ACT4010,Chemistry Lecture,Lecture,CHEM_A,Chemistry,A,Electronics Engineering,60,3,Theory,"Projector, Whiteboard, Audio System",100,80,10,5,Chemical safety protocols,"08:00-11:00, 10:00-13:00, 11:20-14:20",M.Sc/Ph.D in Chemistry,True,True,True,Active,1,High,Regular lecture sessions for Chemistry
