subject_code,subject_name,scheme,department,credits,weekly_hours,type,semester,year,prerequisites,corequisites,lab_required,lab_location,lab_campus,equipment_required,max_batch_size,assessment_type,duration_minutes,frequency_per_week,status,syllabus_version
T&NM_A,Transform and Numerical Methods,A,Civil Engineering,4,4,Theory,2,1,"Mathematics-XII, Physics-XII",Mathematics Tutorial,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
T&NM_A,Transform and Numerical Methods,A,Electrical Engineering,4,4,Theory,2,1,"Mathematics-XII, Physics-XII",Mathematics Tutorial,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
T&NM_A,Transform and Numerical Methods,A,Mechanical Engineering,4,4,Theory,2,1,"Mathematics-XII, Physics-XII",Mathematics Tutorial,False,Standard Classroom,Campus-8,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
T&NM_A,Transform and Numerical Methods,A,Electronics Engineering,4,4,Theory,2,1,"Mathematics-XII, Physics-XII",Mathematics Tutorial,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
T&NM_A,Transform and Numerical Methods,A,Information Technology,4,4,Theory,2,1,"Mathematics-XII, Physics-XII",Mathematics Tutorial,False,Standard Classroom,Campus-8,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
T&NM_A,Transform and Numerical Methods,A,Computer Science Engineering,4,4,Theory,2,1,"Mathematics-XII, Physics-XII",Mathematics Tutorial,False,Standard Classroom,Campus-15B,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
CHEM_A,Chemistry,A,Civil Engineering,3,3,Theory,1,1,Chemistry-XII,CHEM_LAB_A,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
CHEM_A,Chemistry,A,Electrical Engineering,3,3,Theory,1,1,Chemistry-XII,CHEM_LAB_A,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
CHEM_A,Chemistry,A,Mechanical Engineering,3,3,Theory,1,1,Chemistry-XII,CHEM_LAB_A,False,Standard Classroom,Campus-8,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
CHEM_A,Chemistry,A,Electronics Engineering,3,3,Theory,1,1,Chemistry-XII,CHEM_LAB_A,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
CHEM_A,Chemistry,A,Information Technology,3,3,Theory,1,1,Chemistry-XII,CHEM_LAB_A,False,Standard Classroom,Campus-8,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
CHEM_A,Chemistry,A,Computer Science Engineering,3,3,Theory,1,1,Chemistry-XII,CHEM_LAB_A,False,Standard Classroom,Campus-15B,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
ENG_A,English,A,Civil Engineering,3,3,Theory,1,1,English-XII,No Corequisite Required,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
ENG_A,English,A,Electrical Engineering,3,3,Theory,1,1,English-XII,No Corequisite Required,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
ENG_A,English,A,Mechanical Engineering,3,3,Theory,1,1,English-XII,No Corequisite Required,False,Standard Classroom,Campus-8,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
ENG_A,English,A,Electronics Engineering,3,3,Theory,1,1,English-XII,No Corequisite Required,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
ENG_A,English,A,Information Technology,3,3,Theory,1,1,English-XII,No Corequisite Required,False,Standard Classroom,Campus-8,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
ENG_A,English,A,Computer Science Engineering,3,3,Theory,1,1,English-XII,No Corequisite Required,False,Standard Classroom,Campus-15B,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
B.ETC_A,Basic Electronics,A,Electronics Engineering,4,4,Theory,2,1,"Physics-XII, Mathematics-XII",BETC_LAB_A,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
B.ETC_A,Basic Electronics,A,Electrical Engineering,4,4,Theory,2,1,"Physics-XII, Mathematics-XII",BETC_LAB_A,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
B.ETC_A,Basic Electronics,A,Computer Science Engineering,4,4,Theory,2,1,"Physics-XII, Mathematics-XII",BETC_LAB_A,False,Standard Classroom,Campus-15B,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
E.MECH_A,Engineering Mechanics,A,Mechanical Engineering,4,4,Theory,2,1,"Physics-XII, Mathematics-XII",EMECH_LAB_A,False,Standard Classroom,Campus-8,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
E.MECH_A,Engineering Mechanics,A,Civil Engineering,4,4,Theory,2,1,"Physics-XII, Mathematics-XII",EMECH_LAB_A,False,Standard Classroom,Campus-3,"Projector, Whiteboard, Audio System",100,"Written Exam, Assignments, Quizzes",60,3,Active,2024-25
HASS_A,Humanities Arts and Social Science Elective,A,Civil Engineering,3,3,Elective,2,1,"English-XII, Social Studies-XII",No Corequisite Required,False,Standard Classroom,Campus-3,Standard Lab Equipment,30,"Continuous Assessment, Project Work",180,3,Active,2024-25
HASS_A,Humanities Arts and Social Science Elective,A,Electrical Engineering,3,3,Elective,2,1,"English-XII, Social Studies-XII",No Corequisite Required,False,Standard Classroom,Campus-3,Standard Lab Equipment,30,"Continuous Assessment, Project Work",180,3,Active,2024-25
HASS_A,Humanities Arts and Social Science Elective,A,Mechanical Engineering,3,3,Elective,2,1,"English-XII, Social Studies-XII",No Corequisite Required,False,Standard Classroom,Campus-8,Standard Lab Equipment,30,"Continuous Assessment, Project Work",180,3,Active,2024-25
